model,group,count,action_step_recall,action_step_recall_fraction,critical_evidence_recall,critical_evidence_recall_fraction,behavior_sequence_order,behavior_sequence_order_fraction,candidate_claim_precision,candidate_claim_precision_fraction,overclaim_slot_count,stage,scenario_group,scenario_group_ja
gpt-4.1-mini,明示的実行チェーン,15,50.0%,62/124,9.7%,3/31,37.5%,6/16,38.0%,62/163,101,stage1,explicit_execution_chain,明示的実行チェーン
gpt-4.1-mini,複数段ツールチェーン,11,56.7%,93/164,24.4%,10/41,33.3%,10/30,44.2%,87/197,110,stage1,multi_step_tool_chain,複数段ツールチェーン
gpt-4.1-mini,意味解釈型チェーン,1,16.7%,2/12,0.0%,0/3,0.0%,0/2,12.5%,2/16,14,stage1,semantic_interpretation_chain,意味解釈型チェーン
gpt-4.1-mini,明示的実行チェーン,15,30.6%,38/124,0.0%,0/31,0.0%,0/16,22.6%,38/168,130,stage2,explicit_execution_chain,明示的実行チェーン
gpt-4.1-mini,複数段ツールチェーン,11,33.5%,55/164,0.0%,0/41,13.3%,4/30,28.6%,48/168,120,stage2,multi_step_tool_chain,複数段ツールチェーン
gpt-4.1-mini,意味解釈型チェーン,1,50.0%,6/12,0.0%,0/3,0.0%,0/2,62.5%,5/8,3,stage2,semantic_interpretation_chain,意味解釈型チェーン
gpt-4.1-mini,明示的実行チェーン,15,25.8%,32/124,0.0%,0/31,18.8%,3/16,37.5%,30/80,50,stage3,explicit_execution_chain,明示的実行チェーン
gpt-4.1-mini,複数段ツールチェーン,11,21.8%,27/124,0.0%,0/31,4.2%,1/24,31.3%,25/80,55,stage3,multi_step_tool_chain,複数段ツールチェーン
gpt-4.1-mini,意味解釈型チェーン,1,50.0%,6/12,0.0%,0/3,50.0%,1/2,50.0%,6/12,6,stage3,semantic_interpretation_chain,意味解釈型チェーン
gpt-5.4-mini,明示的実行チェーン,15,83.9%,78/93,77.4%,24/31,75.0%,12/16,59.1%,26/44,18,stage1,explicit_execution_chain,明示的実行チェーン
gpt-5.4-mini,複数段ツールチェーン,11,91.9%,113/123,90.2%,37/41,83.3%,25/30,56.8%,21/37,16,stage1,multi_step_tool_chain,複数段ツールチェーン
gpt-5.4-mini,意味解釈型チェーン,1,100.0%,9/9,100.0%,3/3,100.0%,2/2,100.0%,2/2,0,stage1,semantic_interpretation_chain,意味解釈型チェーン
gpt-5.4-mini,明示的実行チェーン,15,90.3%,84/93,90.3%,28/31,81.3%,13/16,58.1%,25/43,18,stage2,explicit_execution_chain,明示的実行チェーン
gpt-5.4-mini,複数段ツールチェーン,11,76.4%,94/123,70.7%,29/41,30.0%,9/30,48.5%,16/33,17,stage2,multi_step_tool_chain,複数段ツールチェーン
gpt-5.4-mini,意味解釈型チェーン,1,33.3%,3/9,0.0%,0/3,0.0%,0/2,0.0%,0/1,1,stage2,semantic_interpretation_chain,意味解釈型チェーン
gpt-5.4-mini,明示的実行チェーン,15,90.3%,84/93,90.3%,28/31,81.3%,13/16,71.9%,23/32,9,stage3,explicit_execution_chain,明示的実行チェーン
gpt-5.4-mini,複数段ツールチェーン,11,73.1%,68/93,74.2%,23/31,50.0%,12/24,22.4%,11/49,38,stage3,multi_step_tool_chain,複数段ツールチェーン
gpt-5.4-mini,意味解釈型チェーン,1,88.9%,8/9,66.7%,2/3,0.0%,0/2,33.3%,2/6,4,stage3,semantic_interpretation_chain,意味解釈型チェーン
