comparison_scope,dataset_label,scoring_mode,stage,stage_label,framework_group,run_count,chain_count,gold_step_total,candidate_step_total,recall_hits,recall_total,recall,precision_hits,precision_total,precision,f1,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order,adjudicated_count
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage1,alert_clue,collection_or_tool_invocation,10,5,30,32,1,30,0.03333333333333333,1,32,0.03125,0.03225806451612904,1,30,0.03333333333333333,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage1,alert_clue,command_shell_execution,4,2,10,14,0,10,0.0,0,14,0.0,0.0,0,10,0.0,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage1,alert_clue,network_service_behavior,26,13,52,70,19,52,0.36538461538461536,19,70,0.2714285714285714,0.31147540983606553,19,52,0.36538461538461536,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage1,alert_clue,persistence_registry_run_key,2,1,6,8,0,6,0.0,0,8,0.0,0.0,0,6,0.0,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage1,alert_clue,script_execution_chain,4,2,32,17,2,32,0.0625,2,17,0.11764705882352941,0.08163265306122448,1,32,0.03125,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage2,process_time_clue,collection_or_tool_invocation,10,5,30,31,0,30,0.0,0,31,0.0,0.0,0,30,0.0,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage2,process_time_clue,command_shell_execution,4,2,10,14,0,10,0.0,0,14,0.0,0.0,0,10,0.0,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage2,process_time_clue,network_service_behavior,26,13,52,90,10,52,0.19230769230769232,10,90,0.1111111111111111,0.1408450704225352,10,52,0.19230769230769232,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage2,process_time_clue,persistence_registry_run_key,2,1,6,0,0,6,0.0,0,0,,,0,6,0.0,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage2,process_time_clue,script_execution_chain,4,2,32,5,2,32,0.0625,2,5,0.4,0.10810810810810811,2,32,0.0625,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage3,non_alert_telemetry_only,collection_or_tool_invocation,10,5,30,23,3,30,0.1,3,23,0.13043478260869565,0.11320754716981132,3,30,0.1,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage3,non_alert_telemetry_only,command_shell_execution,4,2,10,4,0,10,0.0,0,4,0.0,0.0,0,10,0.0,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage3,non_alert_telemetry_only,network_service_behavior,26,13,52,48,9,52,0.17307692307692307,9,48,0.1875,0.17999999999999997,9,52,0.17307692307692307,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage3,non_alert_telemetry_only,persistence_registry_run_key,2,1,6,4,0,6,0.0,0,4,0.0,0.0,0,6,0.0,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage3,non_alert_telemetry_only,script_execution_chain,4,2,32,9,2,32,0.0625,2,9,0.2222222222222222,0.0975609756097561,2,32,0.0625,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage1,alert_clue,collection_or_tool_invocation,10,5,30,28,0,30,0.0,0,28,0.0,0.0,0,30,0.0,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage1,alert_clue,command_shell_execution,4,2,10,9,0,10,0.0,0,9,0.0,0.0,0,10,0.0,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage1,alert_clue,network_service_behavior,26,13,52,75,24,52,0.46153846153846156,24,75,0.32,0.37795275590551186,24,52,0.46153846153846156,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage1,alert_clue,persistence_registry_run_key,2,1,6,4,0,6,0.0,0,4,0.0,0.0,0,6,0.0,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage1,alert_clue,script_execution_chain,4,2,32,8,0,32,0.0,0,8,0.0,0.0,0,32,0.0,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage2,process_time_clue,collection_or_tool_invocation,10,5,30,27,3,30,0.1,3,27,0.1111111111111111,0.10526315789473685,3,30,0.1,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage2,process_time_clue,command_shell_execution,4,2,10,19,7,10,0.7,7,19,0.3684210526315789,0.48275862068965514,7,10,0.7,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage2,process_time_clue,network_service_behavior,26,13,52,71,34,52,0.6538461538461539,34,71,0.4788732394366197,0.5528455284552846,34,52,0.6538461538461539,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage2,process_time_clue,persistence_registry_run_key,2,1,6,7,2,6,0.3333333333333333,2,7,0.2857142857142857,0.30769230769230765,2,6,0.3333333333333333,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage2,process_time_clue,script_execution_chain,4,2,32,13,4,32,0.125,4,13,0.3076923076923077,0.17777777777777778,4,32,0.125,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage3,non_alert_telemetry_only,collection_or_tool_invocation,10,5,30,44,5,30,0.16666666666666666,5,44,0.11363636363636363,0.13513513513513511,5,30,0.16666666666666666,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage3,non_alert_telemetry_only,command_shell_execution,4,2,10,14,4,10,0.4,4,14,0.2857142857142857,0.3333333333333333,4,10,0.4,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage3,non_alert_telemetry_only,network_service_behavior,26,13,52,69,31,52,0.5961538461538461,31,69,0.4492753623188406,0.5123966942148761,31,52,0.5961538461538461,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage3,non_alert_telemetry_only,persistence_registry_run_key,2,1,6,5,3,6,0.5,3,5,0.6,0.5454545454545454,3,6,0.5,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage3,non_alert_telemetry_only,script_execution_chain,4,2,32,17,5,32,0.15625,5,17,0.29411764705882354,0.20408163265306123,5,32,0.15625,0
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage1,alert_clue,collection_or_tool_invocation,8,5,25,51,21,25,0.84,21,51,0.4117647058823529,0.5526315789473684,21,25,0.84,4
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage1,alert_clue,command_shell_execution,3,2,7,22,5,7,0.7142857142857143,5,22,0.22727272727272727,0.3448275862068965,5,7,0.7142857142857143,2
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage1,alert_clue,network_service_behavior,18,13,36,101,34,36,0.9444444444444444,34,101,0.33663366336633666,0.4963503649635037,34,36,0.9444444444444444,17
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage1,alert_clue,persistence_registry_run_key,2,1,6,8,3,6,0.5,3,8,0.375,0.42857142857142855,3,6,0.5,1
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage1,alert_clue,script_execution_chain,4,2,32,35,24,32,0.75,24,35,0.6857142857142857,0.7164179104477612,24,32,0.75,2
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage2,process_time_clue,collection_or_tool_invocation,8,5,25,51,18,25,0.72,18,51,0.35294117647058826,0.4736842105263158,18,25,0.72,5
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage2,process_time_clue,command_shell_execution,3,2,7,25,5,7,0.7142857142857143,5,25,0.2,0.3125,5,7,0.7142857142857143,2
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage2,process_time_clue,network_service_behavior,17,13,34,102,33,34,0.9705882352941176,33,102,0.3235294117647059,0.4852941176470589,33,34,0.9705882352941176,16
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage2,process_time_clue,persistence_registry_run_key,2,1,6,9,6,6,1.0,6,9,0.6666666666666666,0.8,6,6,1.0,2
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage2,process_time_clue,script_execution_chain,4,2,32,36,25,32,0.78125,25,36,0.6944444444444444,0.7352941176470588,25,32,0.78125,3
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage3,non_alert_telemetry_only,collection_or_tool_invocation,8,5,25,60,16,25,0.64,16,60,0.26666666666666666,0.37647058823529406,16,25,0.64,5
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage3,non_alert_telemetry_only,command_shell_execution,3,2,7,19,7,7,1.0,7,19,0.3684210526315789,0.5384615384615384,7,7,1.0,3
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage3,non_alert_telemetry_only,network_service_behavior,17,13,34,103,33,34,0.9705882352941176,33,103,0.32038834951456313,0.4817518248175183,33,34,0.9705882352941176,16
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage3,non_alert_telemetry_only,persistence_registry_run_key,2,1,6,8,6,6,1.0,6,8,0.75,0.8571428571428571,6,6,1.0,2
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage3,non_alert_telemetry_only,script_execution_chain,4,2,32,38,22,32,0.6875,22,38,0.5789473684210527,0.6285714285714286,22,32,0.6875,3
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage1,alert_clue,collection_or_tool_invocation,8,5,25,0,0,25,0.0,0,0,,,0,25,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage1,alert_clue,command_shell_execution,3,2,7,0,0,7,0.0,0,0,,,0,7,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage1,alert_clue,network_service_behavior,18,13,36,0,0,36,0.0,0,0,,,0,36,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage1,alert_clue,persistence_registry_run_key,2,1,6,0,0,6,0.0,0,0,,,0,6,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage1,alert_clue,script_execution_chain,4,2,32,0,0,32,0.0,0,0,,,0,32,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage2,process_time_clue,collection_or_tool_invocation,8,5,25,0,0,25,0.0,0,0,,,0,25,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage2,process_time_clue,command_shell_execution,3,2,7,0,0,7,0.0,0,0,,,0,7,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage2,process_time_clue,network_service_behavior,17,13,34,0,0,34,0.0,0,0,,,0,34,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage2,process_time_clue,persistence_registry_run_key,2,1,6,0,0,6,0.0,0,0,,,0,6,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage2,process_time_clue,script_execution_chain,4,2,32,0,0,32,0.0,0,0,,,0,32,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage3,non_alert_telemetry_only,collection_or_tool_invocation,8,5,25,0,0,25,0.0,0,0,,,0,25,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage3,non_alert_telemetry_only,command_shell_execution,3,2,7,0,0,7,0.0,0,0,,,0,7,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage3,non_alert_telemetry_only,network_service_behavior,17,13,34,0,0,34,0.0,0,0,,,0,34,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage3,non_alert_telemetry_only,persistence_registry_run_key,2,1,6,0,0,6,0.0,0,0,,,0,6,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage3,non_alert_telemetry_only,script_execution_chain,4,2,32,0,0,32,0.0,0,0,,,0,32,0.0,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage1,alert_clue,collection_or_tool_invocation,5,5,15,15,1,15,0.06666666666666667,1,15,0.06666666666666667,0.06666666666666667,1,15,0.06666666666666667,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage1,alert_clue,command_shell_execution,2,2,5,9,0,5,0.0,0,9,0.0,0.0,0,5,0.0,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage1,alert_clue,network_service_behavior,13,13,26,41,13,26,0.5,13,41,0.3170731707317073,0.38805970149253727,13,26,0.5,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage1,alert_clue,persistence_registry_run_key,1,1,3,4,0,3,0.0,0,4,0.0,0.0,0,3,0.0,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage1,alert_clue,script_execution_chain,2,2,16,9,2,16,0.125,2,9,0.2222222222222222,0.16,1,16,0.0625,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage2,process_time_clue,collection_or_tool_invocation,5,5,15,12,0,15,0.0,0,12,0.0,0.0,0,15,0.0,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage2,process_time_clue,command_shell_execution,2,2,5,6,0,5,0.0,0,6,0.0,0.0,0,5,0.0,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage2,process_time_clue,network_service_behavior,13,13,26,41,6,26,0.23076923076923078,6,41,0.14634146341463414,0.17910447761194032,6,26,0.23076923076923078,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage2,process_time_clue,persistence_registry_run_key,1,1,3,0,0,3,0.0,0,0,,,0,3,0.0,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage2,process_time_clue,script_execution_chain,2,2,16,5,2,16,0.125,2,5,0.4,0.19047619047619047,2,16,0.125,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage3,non_alert_telemetry_only,collection_or_tool_invocation,5,5,15,7,2,15,0.13333333333333333,2,7,0.2857142857142857,0.18181818181818182,2,15,0.13333333333333333,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage3,non_alert_telemetry_only,command_shell_execution,2,2,5,4,0,5,0.0,0,4,0.0,0.0,0,5,0.0,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage3,non_alert_telemetry_only,network_service_behavior,13,13,26,27,7,26,0.2692307692307692,7,27,0.25925925925925924,0.2641509433962264,7,26,0.2692307692307692,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage3,non_alert_telemetry_only,persistence_registry_run_key,1,1,3,2,0,3,0.0,0,2,0.0,0.0,0,3,0.0,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage3,non_alert_telemetry_only,script_execution_chain,2,2,16,5,2,16,0.125,2,5,0.4,0.19047619047619047,2,16,0.125,0
rep1_comparable,gpt-5.4-mini_rep1_strict,strict_json,stage1,alert_clue,collection_or_tool_invocation,5,5,15,19,0,15,0.0,0,19,0.0,0.0,0,15,0.0,0
rep1_comparable,gpt-5.4-mini_rep1_strict,strict_json,stage1,alert_clue,command_shell_execution,2,2,5,3,0,5,0.0,0,3,0.0,0.0,0,5,0.0,0
rep1_comparable,gpt-5.4-mini_rep1_strict,strict_json,stage1,alert_clue,network_service_behavior,13,13,26,42,14,26,0.5384615384615384,14,42,0.3333333333333333,0.41176470588235287,14,26,0.5384615384615384,0
rep1_comparable,gpt-5.4-mini_rep1_strict,strict_json,stage1,alert_clue,persistence_registry_run_key,1,1,3,1,0,3,0.0,0,1,0.0,0.0,0,3,0.0,0
