model,stage,instance_id,review1,review2,totals_match,item_level_match,schema_valid,denominator_match,completeness_valid,reference_valid,totals_recompute_match,quality_valid,provenance_match,two_review_adoptable,adjudication_pass,adjudication_rule,adjudication_source,different_total_keys
gpt-4.1-mini,stage1,s3_pt_01_word_document_processing_stage1,review1\gpt-4.1-mini\stage1\s3_pt_01_word_document_processing_stage1\score_result.json,review2\gpt-4.1-mini\stage1\s3_pt_01_word_document_processing_stage1\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage1\s3_pt_01_word_document_processing_stage1\adjudication_summary.json,"action_step_precision,action_step_precision_hits,action_step_recall,action_step_recall_hits,behavior_element_diagnostics,behavior_step_recall,behavior_step_recall_hits,candidate_action_claim_true_positive_slot_count,candidate_claim_precision,candidate_claim_precision_hits,coarse_action_step_coverage,coarse_action_step_coverage_hits,critical_evidence_recall,critical_evidence_recall_hits,hallucinated_claim_count,overclaim_slot_count"
gpt-4.1-mini,stage1,s3_pt_02_regsvr32_remote_sct_stage1,review1\gpt-4.1-mini\stage1\s3_pt_02_regsvr32_remote_sct_stage1\score_result.json,review2\gpt-4.1-mini\stage1\s3_pt_02_regsvr32_remote_sct_stage1\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage1\s3_pt_02_regsvr32_remote_sct_stage1\adjudication_summary.json,"behavior_element_diagnostics,candidate_action_claim_raw_slot_count,candidate_action_claim_slot_count,candidate_claim_precision_total,hallucinated_claim_count,nearby_action_fp_count,overclaim_slot_count,unsupported_evidence_count"
gpt-4.1-mini,stage1,s3_pt_03_regsvr32_long_chain_stage1,review1\gpt-4.1-mini\stage1\s3_pt_03_regsvr32_long_chain_stage1\score_result.json,review2\gpt-4.1-mini\stage1\s3_pt_03_regsvr32_long_chain_stage1\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage1\s3_pt_03_regsvr32_long_chain_stage1\adjudication_summary.json,"action_step_precision,action_step_precision_hits,action_step_recall,action_step_recall_hits,behavior_element_diagnostics,behavior_sequence_order,behavior_sequence_order_hits,behavior_step_recall,behavior_step_recall_hits,candidate_action_claim_raw_slot_count,candidate_action_claim_slot_count,candidate_action_claim_true_positive_slot_count,candidate_claim_precision,candidate_claim_precision_hits,candidate_claim_precision_total,coarse_action_step_coverage,coarse_action_step_coverage_hits,hallucinated_claim_count,nearby_action_fp_count,overclaim_slot_count"
gpt-4.1-mini,stage1,s3_pt_04_powershell_mid_chain_stage1,review1\gpt-4.1-mini\stage1\s3_pt_04_powershell_mid_chain_stage1\score_result.json,review2\gpt-4.1-mini\stage1\s3_pt_04_powershell_mid_chain_stage1\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage1\s3_pt_04_powershell_mid_chain_stage1\adjudication_summary.json,"behavior_element_diagnostics,candidate_action_claim_raw_slot_count,candidate_action_claim_slot_count,candidate_claim_precision,candidate_claim_precision_total,overclaim_slot_count,unsupported_evidence_count"
gpt-4.1-mini,stage1,s4_pt_01_word_w1_stage1,review1\gpt-4.1-mini\stage1\s4_pt_01_word_w1_stage1\score_result.json,review2\gpt-4.1-mini\stage1\s4_pt_01_word_w1_stage1\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage1\s4_pt_01_word_w1_stage1\adjudication_summary.json,"behavior_element_diagnostics,candidate_action_claim_raw_slot_count,candidate_action_claim_slot_count,candidate_claim_precision,candidate_claim_precision_total,hallucinated_claim_count,nearby_action_fp_count,overclaim_slot_count,unsupported_evidence_count"
gpt-4.1-mini,stage1,s4_pt_02_word_w2_w3_stage1,review1\gpt-4.1-mini\stage1\s4_pt_02_word_w2_w3_stage1\score_result.json,review2\gpt-4.1-mini\stage1\s4_pt_02_word_w2_w3_stage1\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage1\s4_pt_02_word_w2_w3_stage1\adjudication_summary.json,"behavior_element_diagnostics,candidate_action_claim_raw_slot_count,candidate_action_claim_slot_count,candidate_claim_precision_total,hallucinated_claim_count,overclaim_slot_count,unsupported_evidence_count"
gpt-4.1-mini,stage1,s4_pt_03_mshta_c1_stage1,review1_retry_01\gpt-4.1-mini\stage1\s4_pt_03_mshta_c1_stage1\score_result.json,review2\gpt-4.1-mini\stage1\s4_pt_03_mshta_c1_stage1\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage1\s4_pt_03_mshta_c1_stage1\adjudication_summary.json,"action_step_precision,action_step_precision_hits,action_step_recall,action_step_recall_hits,behavior_element_diagnostics,candidate_action_claim_raw_slot_count,candidate_action_claim_slot_count,candidate_action_claim_true_positive_slot_count,candidate_claim_precision,candidate_claim_precision_hits,candidate_claim_precision_total,critical_evidence_recall,critical_evidence_recall_hits,nearby_action_fp_count,overclaim_slot_count,unsupported_evidence_count"
gpt-4.1-mini,stage1,s4_pt_04_powershell_c1_stage1,review1\gpt-4.1-mini\stage1\s4_pt_04_powershell_c1_stage1\score_result.json,review2\gpt-4.1-mini\stage1\s4_pt_04_powershell_c1_stage1\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage1\s4_pt_04_powershell_c1_stage1\adjudication_summary.json,"nearby_action_fp_count,unsupported_evidence_count"
gpt-4.1-mini,stage2,s3_pt_01_word_document_processing_stage2,review1\gpt-4.1-mini\stage2\s3_pt_01_word_document_processing_stage2\score_result.json,review2\gpt-4.1-mini\stage2\s3_pt_01_word_document_processing_stage2\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage2\s3_pt_01_word_document_processing_stage2\adjudication_summary.json,"action_step_recall,action_step_recall_hits,behavior_element_diagnostics,behavior_step_recall,behavior_step_recall_hits,coarse_action_step_coverage,coarse_action_step_coverage_hits,nearby_action_fp_count"
gpt-4.1-mini,stage2,s3_pt_02_regsvr32_remote_sct_stage2,review1\gpt-4.1-mini\stage2\s3_pt_02_regsvr32_remote_sct_stage2\score_result.json,review2\gpt-4.1-mini\stage2\s3_pt_02_regsvr32_remote_sct_stage2\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage2\s3_pt_02_regsvr32_remote_sct_stage2\adjudication_summary.json,"behavior_element_diagnostics,candidate_action_claim_raw_slot_count,candidate_action_claim_slot_count,candidate_claim_precision_total,hallucinated_claim_count,nearby_action_fp_count,overclaim_slot_count"
gpt-4.1-mini,stage2,s3_pt_03_regsvr32_long_chain_stage2,review1\gpt-4.1-mini\stage2\s3_pt_03_regsvr32_long_chain_stage2\score_result.json,review2\gpt-4.1-mini\stage2\s3_pt_03_regsvr32_long_chain_stage2\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage2\s3_pt_03_regsvr32_long_chain_stage2\adjudication_summary.json,"action_step_precision,action_step_precision_hits,action_step_recall,action_step_recall_hits,behavior_element_diagnostics,behavior_sequence_order,behavior_sequence_order_hits,behavior_step_recall,behavior_step_recall_hits,candidate_action_claim_raw_slot_count,candidate_action_claim_slot_count,candidate_action_claim_true_positive_slot_count,candidate_claim_precision,candidate_claim_precision_hits,candidate_claim_precision_total,coarse_action_step_coverage,coarse_action_step_coverage_hits,hallucinated_claim_count,overclaim_slot_count"
gpt-4.1-mini,stage2,s3_pt_04_powershell_mid_chain_stage2,review1\gpt-4.1-mini\stage2\s3_pt_04_powershell_mid_chain_stage2\score_result.json,review2\gpt-4.1-mini\stage2\s3_pt_04_powershell_mid_chain_stage2\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage2\s3_pt_04_powershell_mid_chain_stage2\adjudication_summary.json,"action_step_precision,action_step_precision_hits,action_step_recall,action_step_recall_hits,behavior_element_diagnostics,behavior_sequence_order,behavior_sequence_order_hits,behavior_step_recall,behavior_step_recall_hits,candidate_action_claim_true_positive_slot_count,candidate_claim_precision,candidate_claim_precision_hits,coarse_action_step_coverage,coarse_action_step_coverage_hits,overclaim_slot_count"
gpt-4.1-mini,stage2,s4_pt_01_word_w1_stage2,review1\gpt-4.1-mini\stage2\s4_pt_01_word_w1_stage2\score_result.json,review2\gpt-4.1-mini\stage2\s4_pt_01_word_w1_stage2\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage2\s4_pt_01_word_w1_stage2\adjudication_summary.json,contradicted_evidence_count
gpt-4.1-mini,stage2,s4_pt_02_word_w2_w3_stage2,review1\gpt-4.1-mini\stage2\s4_pt_02_word_w2_w3_stage2\score_result.json,review2\gpt-4.1-mini\stage2\s4_pt_02_word_w2_w3_stage2\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage2\s4_pt_02_word_w2_w3_stage2\adjudication_summary.json,"action_step_precision,action_step_precision_hits,action_step_recall,action_step_recall_hits,behavior_element_diagnostics,candidate_action_claim_true_positive_slot_count,candidate_claim_precision,candidate_claim_precision_hits,nearby_action_fp_count,overclaim_slot_count"
gpt-4.1-mini,stage2,s4_pt_03_mshta_c1_stage2,review1\gpt-4.1-mini\stage2\s4_pt_03_mshta_c1_stage2\score_result.json,review2\gpt-4.1-mini\stage2\s4_pt_03_mshta_c1_stage2\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage2\s4_pt_03_mshta_c1_stage2\adjudication_summary.json,"action_step_recall,action_step_recall_hits,behavior_element_diagnostics,behavior_step_recall,behavior_step_recall_hits,candidate_action_claim_raw_slot_count,candidate_action_claim_slot_count,candidate_claim_precision,candidate_claim_precision_total,coarse_action_step_coverage,coarse_action_step_coverage_hits,contradicted_evidence_count,nearby_action_fp_count,overclaim_slot_count,unsupported_evidence_count"
gpt-4.1-mini,stage2,s4_pt_04_powershell_c1_stage2,review1\gpt-4.1-mini\stage2\s4_pt_04_powershell_c1_stage2\score_result.json,review2\gpt-4.1-mini\stage2\s4_pt_04_powershell_c1_stage2\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage2\s4_pt_04_powershell_c1_stage2\adjudication_summary.json,"action_step_precision,action_step_precision_hits,action_step_recall,action_step_recall_hits,behavior_element_diagnostics,candidate_action_claim_raw_slot_count,candidate_action_claim_slot_count,candidate_action_claim_true_positive_slot_count,candidate_claim_precision,candidate_claim_precision_hits,candidate_claim_precision_total,nearby_action_fp_count,overclaim_slot_count,unsupported_evidence_count"
gpt-4.1-mini,stage3,s3_pt_01_word_document_processing_stage3,review1\gpt-4.1-mini\stage3\s3_pt_01_word_document_processing_stage3\score_result.json,review2\gpt-4.1-mini\stage3\s3_pt_01_word_document_processing_stage3\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage3\s3_pt_01_word_document_processing_stage3\adjudication_summary.json,"action_step_precision,action_step_precision_hits,action_step_recall,action_step_recall_hits,behavior_element_diagnostics,behavior_step_recall,behavior_step_recall_hits,candidate_action_claim_raw_slot_count,candidate_action_claim_slot_count,candidate_action_claim_true_positive_slot_count,candidate_claim_precision,candidate_claim_precision_hits,candidate_claim_precision_total,coarse_action_step_coverage,coarse_action_step_coverage_hits,hallucinated_claim_count,nearby_action_fp_count,overclaim_slot_count"
gpt-4.1-mini,stage3,s3_pt_02_regsvr32_remote_sct_stage3,review1\gpt-4.1-mini\stage3\s3_pt_02_regsvr32_remote_sct_stage3\score_result.json,review2\gpt-4.1-mini\stage3\s3_pt_02_regsvr32_remote_sct_stage3\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage3\s3_pt_02_regsvr32_remote_sct_stage3\adjudication_summary.json,"behavior_element_diagnostics,candidate_action_claim_raw_slot_count,candidate_action_claim_slot_count,candidate_action_claim_true_positive_slot_count,candidate_claim_precision,candidate_claim_precision_hits,candidate_claim_precision_total,critical_evidence_recall,critical_evidence_recall_hits,hallucinated_claim_count,nearby_action_fp_count,overclaim_slot_count,unsupported_evidence_count"
gpt-4.1-mini,stage3,s3_pt_03_regsvr32_long_chain_stage3,review1\gpt-4.1-mini\stage3\s3_pt_03_regsvr32_long_chain_stage3\score_result.json,review2\gpt-4.1-mini\stage3\s3_pt_03_regsvr32_long_chain_stage3\score_result.json,True,True,True,True,True,True,True,True,True,True,False,,,
gpt-4.1-mini,stage3,s3_pt_04_powershell_mid_chain_stage3,review1\gpt-4.1-mini\stage3\s3_pt_04_powershell_mid_chain_stage3\score_result.json,review2\gpt-4.1-mini\stage3\s3_pt_04_powershell_mid_chain_stage3\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage3\s3_pt_04_powershell_mid_chain_stage3\adjudication_summary.json,"behavior_element_diagnostics,candidate_action_claim_raw_slot_count,candidate_action_claim_slot_count,candidate_claim_precision,candidate_claim_precision_total,contradicted_evidence_count,nearby_action_fp_count,overclaim_slot_count"
gpt-4.1-mini,stage3,s4_pt_01_word_w1_stage3,review1\gpt-4.1-mini\stage3\s4_pt_01_word_w1_stage3\score_result.json,review2\gpt-4.1-mini\stage3\s4_pt_01_word_w1_stage3\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage3\s4_pt_01_word_w1_stage3\adjudication_summary.json,"action_step_precision,action_step_precision_hits,action_step_recall,action_step_recall_hits,behavior_element_diagnostics,behavior_sequence_order,behavior_sequence_order_hits,candidate_action_claim_true_positive_slot_count,candidate_claim_precision,candidate_claim_precision_hits,nearby_action_fp_count,overclaim_slot_count"
gpt-4.1-mini,stage3,s4_pt_02_word_w2_w3_stage3,review1\gpt-4.1-mini\stage3\s4_pt_02_word_w2_w3_stage3\score_result.json,review2\gpt-4.1-mini\stage3\s4_pt_02_word_w2_w3_stage3\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage3\s4_pt_02_word_w2_w3_stage3\adjudication_summary.json,"action_step_precision,action_step_precision_hits,action_step_recall,action_step_recall_hits,behavior_element_diagnostics,behavior_sequence_order,behavior_sequence_order_hits,behavior_step_recall,behavior_step_recall_hits,candidate_action_claim_true_positive_slot_count,candidate_claim_precision,candidate_claim_precision_hits,coarse_action_step_coverage,coarse_action_step_coverage_hits,hallucinated_claim_count,nearby_action_fp_count,overclaim_slot_count"
gpt-4.1-mini,stage3,s4_pt_03_mshta_c1_stage3,review1\gpt-4.1-mini\stage3\s4_pt_03_mshta_c1_stage3\score_result.json,review2\gpt-4.1-mini\stage3\s4_pt_03_mshta_c1_stage3\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage3\s4_pt_03_mshta_c1_stage3\adjudication_summary.json,"behavior_element_diagnostics,candidate_action_claim_raw_slot_count,candidate_action_claim_slot_count,candidate_claim_precision,candidate_claim_precision_total,contradicted_evidence_count,overclaim_slot_count"
gpt-4.1-mini,stage3,s4_pt_04_powershell_c1_stage3,review1\gpt-4.1-mini\stage3\s4_pt_04_powershell_c1_stage3\score_result.json,review2\gpt-4.1-mini\stage3\s4_pt_04_powershell_c1_stage3\score_result.json,False,False,True,True,True,True,True,True,True,False,True,two_of_three_item_level_majority_then_conservative_min_hits_max_candidate_denominator,adjudications\gpt-4.1-mini\stage3\s4_pt_04_powershell_c1_stage3\adjudication_summary.json,"behavior_element_diagnostics,candidate_action_claim_raw_slot_count,candidate_action_claim_slot_count,candidate_claim_precision,candidate_claim_precision_total,contradicted_evidence_count,nearby_action_fp_count,overclaim_slot_count"
