comparison_scope,dataset_label,scoring_mode,stage,stage_label,run_count,chain_count,gold_step_total,candidate_step_total,recall_hits,recall_total,recall,precision_hits,precision_total,precision,f1,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order,adjudicated_count
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage1,alert_clue,46,23,130,141,22,130,0.16923076923076924,22,141,0.15602836879432624,0.16236162361623616,21,130,0.16153846153846155,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage2,process_time_clue,46,23,130,140,12,130,0.09230769230769231,12,140,0.08571428571428572,0.08888888888888889,12,130,0.09230769230769231,0
full_available,gpt-4.1-mini_2rep_strict,strict_json,stage3,non_alert_telemetry_only,46,23,130,88,14,130,0.1076923076923077,14,88,0.1590909090909091,0.12844036697247704,14,130,0.1076923076923077,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage1,alert_clue,46,23,130,124,24,130,0.18461538461538463,24,124,0.1935483870967742,0.1889763779527559,24,130,0.18461538461538463,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage2,process_time_clue,46,23,130,137,50,130,0.38461538461538464,50,137,0.36496350364963503,0.37453183520599254,50,130,0.38461538461538464,0
full_available,gpt-5.4-mini_2rep_strict,strict_json,stage3,non_alert_telemetry_only,46,23,130,149,48,130,0.36923076923076925,48,149,0.3221476510067114,0.3440860215053763,48,130,0.36923076923076925,0
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage1,alert_clue,35,23,106,217,87,106,0.8207547169811321,87,217,0.4009216589861751,0.5386996904024768,87,106,0.8207547169811321,26
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage2,process_time_clue,34,23,104,223,87,104,0.8365384615384616,87,223,0.3901345291479821,0.5321100917431193,87,104,0.8365384615384616,28
full_available,gpt-5.5_low_103run_salvage,raw_text_salvage,stage3,non_alert_telemetry_only,34,23,104,228,84,104,0.8076923076923077,84,228,0.3684210526315789,0.5060240963855421,84,104,0.8076923076923077,29
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage1,alert_clue,35,23,106,0,0,106,0.0,0,0,,,0,106,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage2,process_time_clue,34,23,104,0,0,104,0.0,0,0,,,0,104,0.0,0
full_available,gpt-5.5_low_103run_strict_json,strict_json_format_failed,stage3,non_alert_telemetry_only,34,23,104,0,0,104,0.0,0,0,,,0,104,0.0,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage1,alert_clue,23,23,65,78,16,65,0.24615384615384617,16,78,0.20512820512820512,0.22377622377622378,15,65,0.23076923076923078,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage2,process_time_clue,23,23,65,64,8,65,0.12307692307692308,8,64,0.125,0.12403100775193798,8,65,0.12307692307692308,0
rep1_comparable,gpt-4.1-mini_rep1_strict,strict_json,stage3,non_alert_telemetry_only,23,23,65,45,11,65,0.16923076923076924,11,45,0.24444444444444444,0.20000000000000004,11,65,0.16923076923076924,0
rep1_comparable,gpt-5.4-mini_rep1_strict,strict_json,stage1,alert_clue,23,23,65,69,14,65,0.2153846153846154,14,69,0.2028985507246377,0.208955223880597,14,65,0.2153846153846154,0
rep1_comparable,gpt-5.4-mini_rep1_strict,strict_json,stage2,process_time_clue,23,23,65,66,23,65,0.35384615384615387,23,66,0.3484848484848485,0.351145038167939,23,65,0.35384615384615387,0
rep1_comparable,gpt-5.4-mini_rep1_strict,strict_json,stage3,non_alert_telemetry_only,23,23,65,87,28,65,0.4307692307692308,28,87,0.3218390804597701,0.3684210526315789,28,65,0.4307692307692308,0
rep1_comparable,gpt-5.5_low_rep1_salvage,raw_text_salvage,stage1,alert_clue,23,23,65,140,47,65,0.7230769230769231,47,140,0.3357142857142857,0.4585365853658536,47,65,0.7230769230769231,17
rep1_comparable,gpt-5.5_low_rep1_salvage,raw_text_salvage,stage2,process_time_clue,23,23,65,147,56,65,0.8615384615384616,56,147,0.38095238095238093,0.5283018867924528,56,65,0.8615384615384616,18
rep1_comparable,gpt-5.5_low_rep1_salvage,raw_text_salvage,stage3,non_alert_telemetry_only,23,23,65,156,55,65,0.8461538461538461,55,156,0.3525641025641026,0.49773755656108604,55,65,0.8461538461538461,20
rep1_comparable,gpt-5.5_low_rep1_strict_json,strict_json_format_failed,stage1,alert_clue,23,23,65,0,0,65,0.0,0,0,,,0,65,0.0,0
rep1_comparable,gpt-5.5_low_rep1_strict_json,strict_json_format_failed,stage2,process_time_clue,23,23,65,0,0,65,0.0,0,0,,,0,65,0.0,0
rep1_comparable,gpt-5.5_low_rep1_strict_json,strict_json_format_failed,stage3,non_alert_telemetry_only,23,23,65,0,0,65,0.0,0,0,,,0,65,0.0,0
