model,stage,instance_id,chain_type,scenario_group,scenario_group_ja,final_source,action_step_recall_hits,action_step_recall_total,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count
gpt-5.4-mini,stage1,chain_01_e01_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,two_review_match,9,9,3,3,2,2,2,3,1
gpt-5.4-mini,stage1,chain_02_e01_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,6,6,2,2,1,1,2,4,2
gpt-5.4-mini,stage1,chain_03_e02_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,two_review_match,6,6,2,2,1,1,1,2,1
gpt-5.4-mini,stage1,chain_04_e03_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,two_review_match,6,6,2,2,1,1,1,2,1
gpt-5.4-mini,stage1,chain_05_e03_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,3,1
gpt-5.4-mini,stage1,chain_06_e04_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,4,6,1,2,1,1,2,3,1
gpt-5.4-mini,stage1,chain_07_e05_sublime_python_script_execution_chain_stage1,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,29,30,9,10,7,9,4,4,0
gpt-5.4-mini,stage1,chain_08_e06_sublime_python_script_execution_chain_stage1,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,two_review_match,12,12,4,4,3,3,2,2,0
gpt-5.4-mini,stage1,chain_09_e07_cmdexe_other_chain_stage1,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,1,2,1
gpt-5.4-mini,stage1,chain_10_e07_discord_run_key_registry_chain_stage1,discord_run_key_registry_chain,semantic_interpretation_chain,意味解釈型チェーン,two_review_match,9,9,3,3,2,2,2,2,0
gpt-5.4-mini,stage1,chain_11_e07_sublime_python_script_execution_chain_stage1,sublime_python_script_execution_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,15,18,5,6,4,5,3,4,1
gpt-5.4-mini,stage1,chain_12_e08_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,6,4
gpt-5.4-mini,stage1,chain_13_e09_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,two_review_match,9,15,3,5,2,4,3,4,1
gpt-5.4-mini,stage1,chain_14_e09_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,3,5,2
gpt-5.4-mini,stage1,chain_15_e10_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,4,6,1,2,0,1,1,3,2
gpt-5.4-mini,stage1,chain_16_e11_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,0,6,0,2,0,1,0,0,0
gpt-5.4-mini,stage1,chain_17_e12_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,3,6,0,2,0,1,1,1,0
gpt-5.4-mini,stage1,chain_18_e13_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,two_review_match,6,6,2,2,1,1,1,4,3
gpt-5.4-mini,stage1,chain_19_e13_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,6,6,2,2,1,1,3,4,1
gpt-5.4-mini,stage1,chain_20_e14_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,adjudicated,6,6,2,2,1,1,1,8,7
gpt-5.4-mini,stage1,chain_21_e15_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,3,1
gpt-5.4-mini,stage1,chain_22_e16_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,2,0
gpt-5.4-mini,stage1,chain_23_e17_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,2,0
gpt-5.4-mini,stage1,chain_24_e18_cmdexe_other_chain_stage1,cmdexe_other_chain,explicit_execution_chain,明示的実行チェーン,adjudicated,7,9,2,3,1,2,1,3,2
gpt-5.4-mini,stage1,chain_25_e18_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,two_review_match,9,9,3,3,2,2,2,3,1
gpt-5.4-mini,stage1,chain_26_e18_python_simplehttpserver_network_chain_stage1,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,two_review_match,6,6,2,2,1,1,2,3,1
gpt-5.4-mini,stage1,chain_27_e19_dns_packet_capture_batch_chain_stage1,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,two_review_match,6,6,2,2,1,1,1,1,0
