model,stage,instance_id,chain_id,chain_type,scenario_group,scenario_group_ja,excluded_non_alert_gold,action_step_recall_hits,action_step_recall_total,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count,action_step_recall,critical_evidence_recall,behavior_sequence_order,candidate_claim_precision,source_path
gpt-4.1-mini,stage1,chain_01_e01_dns_packet_capture_batch_chain_stage1,chain_01_e01_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,8,9,1,3,1,2,9,32,23,0.8888888888888888,0.3333333333333333,0.5,0.28125,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_01_stage1_codex_adjudicated_score.json
gpt-4.1-mini,stage2,chain_01_e01_dns_packet_capture_batch_chain_stage2,chain_01_e01_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,0,9,0,3,0,2,0,0,0,0.0,0.0,0.0,,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_01_stage2_codex_adjudicated_score.json
gpt-4.1-mini,stage3,chain_01_e01_dns_packet_capture_batch_chain_stage3,chain_01_e01_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,2,9,0,3,0,2,2,8,6,0.2222222222222222,0.0,0.0,0.25,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_01_stage3_codex_adjudicated_score.json
gpt-4.1-mini,stage1,chain_02_e01_python_simplehttpserver_network_chain_stage1,chain_02_e01_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,3,6,1,2,0,1,4,18,14,0.5,0.5,0.0,0.2222222222222222,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_02_stage1_codex_adjudicated_score.json
gpt-4.1-mini,stage2,chain_02_e01_python_simplehttpserver_network_chain_stage2,chain_02_e01_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,1,6,0,2,0,1,1,28,27,0.16666666666666666,0.0,0.0,0.03571428571428571,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_02_stage2_codex_adjudicated_score.json
gpt-4.1-mini,stage3,chain_02_e01_python_simplehttpserver_network_chain_stage3,chain_02_e01_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,4,6,0,2,0,1,4,8,4,0.6666666666666666,0.0,0.0,0.5,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_02_stage3_codex_adjudicated_score.json
gpt-4.1-mini,stage1,chain_04_e03_dns_packet_capture_batch_chain_stage1,chain_04_e03_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,6,6,2,2,0,1,8,8,0,1.0,1.0,0.0,1.0,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_04_stage1_codex_adjudicated_score.json
gpt-4.1-mini,stage2,chain_04_e03_dns_packet_capture_batch_chain_stage2,chain_04_e03_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,3,6,0,2,0,1,3,16,13,0.5,0.0,0.0,0.1875,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_04_stage2_codex_adjudicated_score.json
gpt-4.1-mini,stage3,chain_04_e03_dns_packet_capture_batch_chain_stage3,chain_04_e03_dns_packet_capture_batch_chain,dns_packet_capture_batch_chain,multi_step_tool_chain,複数段ツールチェーン,False,3,6,0,2,0,1,3,24,21,0.5,0.0,0.0,0.125,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_04_stage3_codex_adjudicated_score.json
gpt-4.1-mini,stage1,chain_05_e03_python_simplehttpserver_network_chain_stage1,chain_05_e03_python_simplehttpserver_network_chain,python_simplehttpserver_network_chain,explicit_execution_chain,明示的実行チェーン,False,0,6,0,2,0,1,0,1,1,0.0,0.0,0.0,0.0,docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review\final_chain_05_stage1_codex_adjudicated_score.json
