model,stage,instance_id,final_source,action_step_recall_hits,action_step_recall_total,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count,final_path
gpt-5.4-mini,stage1,chain_01_e01_dns_packet_capture_batch_chain_stage1,two_review_match,9,9,3,3,2,2,2,3,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_01_e01_dns_packet_capture_batch_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_02_e01_python_simplehttpserver_network_chain_stage1,adjudicated,6,6,2,2,1,1,2,4,2,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_02_e01_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_03_e02_dns_packet_capture_batch_chain_stage1,two_review_match,6,6,2,2,1,1,1,2,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_03_e02_dns_packet_capture_batch_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_04_e03_dns_packet_capture_batch_chain_stage1,two_review_match,6,6,2,2,1,1,1,2,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_04_e03_dns_packet_capture_batch_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_05_e03_python_simplehttpserver_network_chain_stage1,two_review_match,6,6,2,2,1,1,2,3,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_05_e03_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_06_e04_python_simplehttpserver_network_chain_stage1,adjudicated,4,6,1,2,1,1,2,3,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_06_e04_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_07_e05_sublime_python_script_execution_chain_stage1,adjudicated,29,30,9,10,7,9,4,4,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_07_e05_sublime_python_script_execution_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_08_e06_sublime_python_script_execution_chain_stage1,two_review_match,12,12,4,4,3,3,2,2,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_08_e06_sublime_python_script_execution_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_09_e07_cmdexe_other_chain_stage1,two_review_match,6,6,2,2,1,1,1,2,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_09_e07_cmdexe_other_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_10_e07_discord_run_key_registry_chain_stage1,two_review_match,9,9,3,3,2,2,2,2,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_10_e07_discord_run_key_registry_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_11_e07_sublime_python_script_execution_chain_stage1,adjudicated,15,18,5,6,4,5,3,4,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_11_e07_sublime_python_script_execution_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_12_e08_python_simplehttpserver_network_chain_stage1,two_review_match,6,6,2,2,1,1,2,6,4,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_12_e08_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_13_e09_dns_packet_capture_batch_chain_stage1,two_review_match,9,15,3,5,2,4,3,4,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_13_e09_dns_packet_capture_batch_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_14_e09_python_simplehttpserver_network_chain_stage1,two_review_match,6,6,2,2,1,1,3,5,2,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_14_e09_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_15_e10_python_simplehttpserver_network_chain_stage1,adjudicated,4,6,1,2,0,1,1,3,2,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_15_e10_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_16_e11_python_simplehttpserver_network_chain_stage1,two_review_match,0,6,0,2,0,1,0,0,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_16_e11_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_17_e12_python_simplehttpserver_network_chain_stage1,adjudicated,3,6,0,2,0,1,1,1,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_17_e12_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_18_e13_dns_packet_capture_batch_chain_stage1,two_review_match,6,6,2,2,1,1,1,4,3,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_18_e13_dns_packet_capture_batch_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_19_e13_python_simplehttpserver_network_chain_stage1,adjudicated,6,6,2,2,1,1,3,4,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_19_e13_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_20_e14_dns_packet_capture_batch_chain_stage1,adjudicated,6,6,2,2,1,1,1,8,7,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_20_e14_dns_packet_capture_batch_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_21_e15_python_simplehttpserver_network_chain_stage1,two_review_match,6,6,2,2,1,1,2,3,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_21_e15_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_22_e16_python_simplehttpserver_network_chain_stage1,two_review_match,6,6,2,2,1,1,2,2,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_22_e16_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_23_e17_python_simplehttpserver_network_chain_stage1,two_review_match,6,6,2,2,1,1,2,2,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_23_e17_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_24_e18_cmdexe_other_chain_stage1,adjudicated,7,9,2,3,1,2,1,3,2,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_24_e18_cmdexe_other_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_25_e18_dns_packet_capture_batch_chain_stage1,two_review_match,9,9,3,3,2,2,2,3,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_25_e18_dns_packet_capture_batch_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_26_e18_python_simplehttpserver_network_chain_stage1,two_review_match,6,6,2,2,1,1,2,3,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_26_e18_python_simplehttpserver_network_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage1,chain_27_e19_dns_packet_capture_batch_chain_stage1,two_review_match,6,6,2,2,1,1,1,1,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage1\chain_27_e19_dns_packet_capture_batch_chain_stage1\codex_score_result.json
gpt-5.4-mini,stage2,chain_01_e01_dns_packet_capture_batch_chain_stage2,adjudicated,4,9,0,3,0,2,1,2,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_01_e01_dns_packet_capture_batch_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_02_e01_python_simplehttpserver_network_chain_stage2,two_review_match,6,6,2,2,1,1,2,4,2,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_02_e01_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_03_e02_dns_packet_capture_batch_chain_stage2,adjudicated,6,6,2,2,0,1,1,3,2,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_03_e02_dns_packet_capture_batch_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_04_e03_dns_packet_capture_batch_chain_stage2,adjudicated,6,6,2,2,0,1,1,4,3,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_04_e03_dns_packet_capture_batch_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_05_e03_python_simplehttpserver_network_chain_stage2,two_review_match,6,6,2,2,1,1,2,3,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_05_e03_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_06_e04_python_simplehttpserver_network_chain_stage2,two_review_match,6,6,2,2,1,1,2,3,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_06_e04_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_07_e05_sublime_python_script_execution_chain_stage2,adjudicated,17,30,5,10,2,9,2,2,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_07_e05_sublime_python_script_execution_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_08_e06_sublime_python_script_execution_chain_stage2,adjudicated,12,12,4,4,2,3,2,2,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_08_e06_sublime_python_script_execution_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_09_e07_cmdexe_other_chain_stage2,adjudicated,6,6,2,2,1,1,1,5,4,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_09_e07_cmdexe_other_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_10_e07_discord_run_key_registry_chain_stage2,two_review_match,3,9,0,3,0,2,0,1,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_10_e07_discord_run_key_registry_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_11_e07_sublime_python_script_execution_chain_stage2,adjudicated,15,18,5,6,3,5,2,4,2,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_11_e07_sublime_python_script_execution_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_12_e08_python_simplehttpserver_network_chain_stage2,two_review_match,6,6,2,2,1,1,2,3,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_12_e08_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_13_e09_dns_packet_capture_batch_chain_stage2,two_review_match,7,15,2,5,1,4,2,2,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_13_e09_dns_packet_capture_batch_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_14_e09_python_simplehttpserver_network_chain_stage2,two_review_match,0,6,0,2,0,1,0,0,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_14_e09_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_15_e10_python_simplehttpserver_network_chain_stage2,two_review_match,6,6,2,2,1,1,2,3,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_15_e10_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_16_e11_python_simplehttpserver_network_chain_stage2,two_review_match,6,6,2,2,1,1,2,3,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_16_e11_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_17_e12_python_simplehttpserver_network_chain_stage2,two_review_match,6,6,2,2,1,1,2,2,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_17_e12_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_18_e13_dns_packet_capture_batch_chain_stage2,adjudicated,6,6,2,2,0,1,1,3,2,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_18_e13_dns_packet_capture_batch_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_19_e13_python_simplehttpserver_network_chain_stage2,two_review_match,6,6,2,2,1,1,1,1,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_19_e13_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_20_e14_dns_packet_capture_batch_chain_stage2,adjudicated,6,6,2,2,0,1,1,2,1,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_20_e14_dns_packet_capture_batch_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_21_e15_python_simplehttpserver_network_chain_stage2,two_review_match,6,6,2,2,1,1,2,2,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_21_e15_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_22_e16_python_simplehttpserver_network_chain_stage2,adjudicated,6,6,2,2,1,1,2,2,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_22_e16_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_23_e17_python_simplehttpserver_network_chain_stage2,two_review_match,6,6,2,2,1,1,2,2,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_23_e17_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_24_e18_cmdexe_other_chain_stage2,adjudicated,9,9,3,3,1,2,2,9,7,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_24_e18_cmdexe_other_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_25_e18_dns_packet_capture_batch_chain_stage2,adjudicated,9,9,3,3,1,2,2,6,4,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_25_e18_dns_packet_capture_batch_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_26_e18_python_simplehttpserver_network_chain_stage2,adjudicated,3,6,1,2,0,1,1,1,0,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_26_e18_python_simplehttpserver_network_chain_stage2\codex_score_result.json
gpt-5.4-mini,stage2,chain_27_e19_dns_packet_capture_batch_chain_stage2,adjudicated,6,6,2,2,0,1,1,3,2,C:\Users\komat\OneDrive\Desktop\ATLAS以外のデータセット\docs\current_experiment\results_2026-06-09\formal_27_chain_experiment_20260609\scores_codex_manual_double_review_gpt54\final\gpt-5.4-mini\stage2\chain_27_e19_dns_packet_capture_batch_chain_stage2\codex_score_result.json
