model,stage,scenario_group,run_count,chain_count,action_step_recall,action_step_recall_hits,action_step_recall_total,critical_evidence_recall,critical_evidence_recall_hits,critical_evidence_recall_total,behavior_sequence_order,behavior_sequence_order_hits,behavior_sequence_order_total,candidate_claim_precision,candidate_claim_precision_hits,candidate_claim_precision_total,overclaim_slot_count
gpt-4.1-mini,stage1,explicit_execution_chain,45,15,0.67,187,279,0.344,32,93,0.417,20,48,0.436,181,415,234
gpt-4.1-mini,stage1,multi_step_tool_chain,21,7,0.609,170,279,0.258,24,93,0.292,21,72,0.439,127,289,162
gpt-4.1-mini,stage1,semantic_interpretation_chain,3,1,0.63,17,27,0.111,1,9,0.333,2,6,0.35,14,40,26
gpt-4.1-mini,stage2,explicit_execution_chain,45,15,0.466,130,279,0.183,17,93,0.146,7,48,0.265,127,480,353
gpt-4.1-mini,stage2,multi_step_tool_chain,21,7,0.38,106,279,0.086,8,93,0.097,7,72,0.318,70,220,150
gpt-4.1-mini,stage2,semantic_interpretation_chain,3,1,0.222,6,27,0.0,0,9,0.0,0,6,0.625,5,8,3
gpt-4.1-mini,stage3,explicit_execution_chain,45,15,0.366,102,279,0.183,17,93,0.167,8,48,0.377,89,236,147
gpt-4.1-mini,stage3,multi_step_tool_chain,21,7,0.294,82,279,0.129,12,93,0.139,10,72,0.366,60,164,104
gpt-4.1-mini,stage3,semantic_interpretation_chain,3,1,0.667,18,27,0.333,3,9,0.167,1,6,0.542,13,24,11
gpt-5.4-mini,stage1,explicit_execution_chain,45,15,0.774,216,279,0.688,64,93,0.667,32,48,0.545,174,319,145
gpt-5.4-mini,stage1,multi_step_tool_chain,21,7,0.821,229,279,0.484,45,93,0.528,38,72,0.559,85,152,67
gpt-5.4-mini,stage1,semantic_interpretation_chain,3,1,0.667,18,27,0.333,3,9,0.5,3,6,0.824,14,17,3
gpt-5.4-mini,stage2,explicit_execution_chain,45,15,0.91,254,279,0.892,83,93,0.833,40,48,0.648,219,338,119
gpt-5.4-mini,stage2,multi_step_tool_chain,21,7,0.71,198,279,0.634,59,93,0.361,26,72,0.476,78,164,86
gpt-5.4-mini,stage2,semantic_interpretation_chain,3,1,0.593,16,27,0.556,5,9,0.333,2,6,0.692,18,26,8
gpt-5.4-mini,stage3,explicit_execution_chain,45,15,0.91,254,279,0.892,83,93,0.792,38,48,0.732,221,302,81
gpt-5.4-mini,stage3,multi_step_tool_chain,21,7,0.706,197,279,0.688,64,93,0.403,29,72,0.403,91,226,135
gpt-5.4-mini,stage3,semantic_interpretation_chain,3,1,0.667,18,27,0.556,5,9,0.167,1,6,0.667,14,21,7
gpt-5.5 low raw,stage1,explicit_execution_chain,15,15,0.935,87,93,0.935,29,31,0.938,15,16,0.652,122,187,65
gpt-5.5 low raw,stage1,multi_step_tool_chain,7,7,0.968,90,93,0.968,30,31,0.958,23,24,0.706,108,153,45
gpt-5.5 low raw,stage1,semantic_interpretation_chain,1,1,1.0,9,9,0.0,0,3,0.0,0,2,0.75,9,12,3
gpt-5.5 low raw,stage2,explicit_execution_chain,15,15,1.0,93,93,1.0,31,31,1.0,16,16,0.673,134,199,65
gpt-5.5 low raw,stage2,multi_step_tool_chain,7,7,0.839,78,93,0.839,26,31,0.75,18,24,0.717,86,120,34
gpt-5.5 low raw,stage2,semantic_interpretation_chain,1,1,1.0,9,9,1.0,3,3,1.0,2,2,1.0,12,12,0
gpt-5.5 low raw,stage3,explicit_execution_chain,15,15,0.978,91,93,1.0,31,31,0.938,15,16,0.624,118,189,71
gpt-5.5 low raw,stage3,multi_step_tool_chain,7,7,0.903,84,93,0.903,28,31,0.875,21,24,0.631,101,160,59
gpt-5.5 low raw,stage3,semantic_interpretation_chain,1,1,1.0,9,9,1.0,3,3,1.0,2,2,0.6,12,20,8
