dataset_label,contract,stage,run_count,chain_count,action_step_recall_hits,action_step_recall_total,action_step_recall,critical_evidence_recall_hits,critical_evidence_recall_total,critical_evidence_recall,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order,candidate_claim_precision_hits,candidate_claim_precision_total,candidate_claim_precision,overclaim_slot_count
gpt-4.1-mini_2rep_component,formal_json_code_steps,stage1,46,23,250,390,0.641,46,130,0.354,29,84,0.345,191,423,0.452,232
gpt-4.1-mini_2rep_component,formal_json_code_steps,stage2,46,23,153,390,0.392,25,130,0.192,11,84,0.131,120,420,0.286,300
gpt-4.1-mini_2rep_component,formal_json_code_steps,stage3,46,23,137,390,0.351,32,130,0.246,14,84,0.167,101,264,0.383,163
gpt-4.1-mini_old_1run_component,legacy_formal27_component_review,stage1,23,23,124,195,0.636,11,65,0.169,14,42,0.333,131,321,0.408,190
gpt-4.1-mini_old_1run_component,legacy_formal27_component_review,stage2,23,23,89,195,0.456,0,65,0.000,3,42,0.071,82,288,0.285,206
gpt-4.1-mini_old_1run_component,legacy_formal27_component_review,stage3,23,23,65,195,0.333,0,65,0.000,5,42,0.119,61,160,0.381,99
gpt-5.4-mini_2rep_component,formal_json_code_steps,stage1,46,23,293,390,0.751,58,130,0.446,40,84,0.476,229,418,0.548,189
gpt-5.4-mini_2rep_component,formal_json_code_steps,stage2,46,23,317,390,0.813,100,130,0.769,48,84,0.571,279,461,0.605,182
gpt-5.4-mini_2rep_component,formal_json_code_steps,stage3,46,23,309,390,0.792,99,130,0.762,43,84,0.512,290,480,0.604,190
gpt-5.4-mini_old_1run_component,legacy_formal27_component_review,stage1,23,23,170,195,0.872,54,65,0.831,33,42,0.786,44,70,0.629,26
gpt-5.4-mini_old_1run_component,legacy_formal27_component_review,stage2,23,23,151,195,0.774,47,65,0.723,20,42,0.476,36,67,0.537,31
gpt-5.4-mini_old_1run_component,legacy_formal27_component_review,stage3,23,23,160,195,0.821,53,65,0.815,25,42,0.595,36,69,0.522,33
gpt-5.5_low_raw_component,raw_text_contract_failed,stage1,69,23,548,585,0.937,177,195,0.908,113,126,0.897,931,1415,0.658,374
gpt-5.5_low_raw_component,raw_text_contract_failed,stage2,69,23,535,585,0.915,177,195,0.908,108,126,0.857,945,1525,0.620,415
gpt-5.5_low_raw_component,raw_text_contract_failed,stage3,69,23,528,585,0.903,176,195,0.903,107,126,0.849,1015,1579,0.643,446
