chain_id,chain_title,model,run_count,visible_qa_question_count,qa_quality_flags,qa_categories,final_evidence_sources,action_step_recall,critical_evidence_recall,behavior_sequence_order,candidate_claim_precision,overclaim_per_run,investigator_sql_note
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,gpt-4.1-mini,9,0,,,audit_logs:29; msft-security:5; cbc-edr-alerts:2,0.370,0.222,0.167,0.271,8.11,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,gpt-5.4-mini,9,0,,,cbc-edr:54; sysmon:20; cbc-edr-alerts:17; msft-security:4; cbc-ngav:1,0.790,0.407,0.667,0.474,4.89,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_01_e01_dns_packet_capture_batch_chain,DNS packet capture batch execution,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; row_identifier:3; parent_child_relation:3; alert_summary_reference:1,shell_or_batch_execution:3; network_service_or_http_server:2; script_execution_chain:2; dns_capture_or_collection:1,sysmon:58; cbc-edr:53; msft-security:19; cbc-edr-alerts:17; cbc-ngav:11; dns_requests:1,0.667,0.667,0.667,0.333,12.00,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。主要証跡には届くが、余計な候補または順序の弱さが残る。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-4.1-mini,9,0,,,audit_logs:41; cbc-ngav:1,0.370,0.222,0.111,0.211,10.78,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.4-mini,9,0,,,cbc-edr:52; sysmon:28; cbc-ngav:7; msft-security:6,0.889,0.722,0.556,0.660,3.78,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。主要証跡には届くが、余計な候補または順序の弱さが残る。
chain_02_e01_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-5.5 low raw,3,2,time_window_or_timestamp:2; process_identity:2; command_line:2; source_stream:2; row_identifier:2; parent_child_relation:2,network_service_or_http_server:2; script_execution_chain:2; shell_or_batch_execution:2,cbc-edr:58; sysmon:40; msft-security:34; cbc-ngav:28; cbc-ngav-alerts:9; cbc-edr-alerts:4,0.889,1.000,0.667,0.639,6.67,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。最終出力の証跡選択は正解証跡にかなり近い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,gpt-4.1-mini,9,0,,,audit_logs:22; sysmon:7; msft-security:7; cbc-edr-alerts:4; cbc-edr:2,0.630,0.389,0.333,0.382,10.44,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,gpt-5.4-mini,9,0,,,cbc-edr-alerts:39; msft-security:33; (未確認):9; cbc-edr:5; unknown:3; cbc-ngav:2,0.870,0.500,0.444,0.438,5.44,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
chain_04_e03_dns_packet_capture_batch_chain,DNS packet capture batch execution,gpt-5.5 low raw,3,3,time_window_or_timestamp:3; process_identity:3; command_line:3; source_stream:3; row_identifier:3; parent_child_relation:3,dns_capture_or_collection:3; shell_or_batch_execution:3; registry_persistence:1; network_service_or_http_server:1; script_execution_chain:1,cbc-edr:57; msft-security:36; cbc-edr-alerts:25; cbc-ngav:19; sysmon:11; cbc-ngav-alerts:2,1.000,1.000,1.000,0.444,8.67,raw出力にInvestigator/QAAgent質問が残っており、仮説と確認項目を直接読める。主要証跡には届くが、余計な候補または順序の弱さが残る。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。ただしraw救済であり構造化出力条件とは分ける。
chain_05_e03_python_simplehttpserver_network_chain,Python SimpleHTTPServer network behavior,gpt-4.1-mini,9,0,,,audit_logs:27; cbc-ngav:1,0.463,0.333,0.333,0.277,6.22,中間質問・SQL実体は保存されていないため、最終証跡選択からの間接評価。探索論点は立つが、正解証跡への接続が弱い。複数結果の時系列統合が弱い。最終証跡選択が広がりすぎる、または近傍ログの切り分けが甘い。
