dataset_label,framework_group,run_count,chain_count,replicate_count,action_step_recall_hits,action_step_recall_total,action_step_recall,critical_evidence_recall_hits,critical_evidence_recall_total,critical_evidence_recall,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order,candidate_claim_precision_hits,candidate_claim_precision_total,candidate_claim_precision,overclaim_slot_count
gpt-4.1-mini_3run_filtered23_component,collection_or_tool_invocation,45,5,3,190,405,0.469,28,135,0.207,19,90,0.211,158,499,0.317,341
gpt-4.1-mini_3run_filtered23_component,command_shell_execution,18,2,3,59,135,0.437,6,45,0.133,4,27,0.148,60,184,0.326,124
gpt-4.1-mini_3run_filtered23_component,network_service_behavior,117,13,3,360,702,0.513,60,234,0.256,31,117,0.265,337,947,0.356,610
gpt-4.1-mini_3run_filtered23_component,persistence_registry_run_key,9,1,3,41,81,0.506,4,27,0.148,3,18,0.167,32,72,0.444,40
gpt-4.1-mini_3run_filtered23_component,script_execution_chain,18,2,3,168,432,0.389,16,144,0.111,19,126,0.151,99,174,0.569,75
gpt-5.4-mini_3run_filtered23_component,collection_or_tool_invocation,45,5,3,315,405,0.778,79,135,0.585,50,90,0.556,153,385,0.397,232
gpt-5.4-mini_3run_filtered23_component,command_shell_execution,18,2,3,103,135,0.763,33,45,0.733,16,27,0.593,70,163,0.429,93
gpt-5.4-mini_3run_filtered23_component,network_service_behavior,117,13,3,621,702,0.885,197,234,0.842,94,117,0.803,544,796,0.683,252
gpt-5.4-mini_3run_filtered23_component,persistence_registry_run_key,9,1,3,52,81,0.642,13,27,0.481,6,18,0.333,46,64,0.719,18
gpt-5.4-mini_3run_filtered23_component,script_execution_chain,18,2,3,309,432,0.715,89,144,0.618,43,126,0.341,101,157,0.643,56
