reviewed_at_utc,replicate,model,stage,instance_id,chain_id,run_json,gold_file,evaluation_unit,review1_pass,review2_pass,two_review_adoptable,gold_step_count,candidate_step_count,recall_hits,recall_total,recall,precision_hits,precision_total,precision,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order,reviewer_a_source,reviewer_b_source,review_summary,dataset_label,stage_label,chain_type,framework_group,expected_behavior_category,evaluable_chain
2026-06-12T12:27:42.934197+00:00,replicate_01,gpt-4.1-mini,stage1,chain_01_e01_dns_packet_capture_batch_chain_stage1,chain_01_e01_dns_packet_capture_batch_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_01_e01_dns_packet_capture_batch_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,3,3,0,3,0.0,0,3,0.0,0,3,0.0,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_c_conflict_chain01_stage1_20260612T1226Z.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_d_conflict_chain01_stage1_20260612T1226Z.jsonl,候補S1はtshark.exeのモジュール実行/ロード風の挙動で、parent_process=cmd.exeは示すが、gold C01-S03が要求するcmd.exeがstart_dns_logs.bat経由でtshark.exeを子プロセスとして生成した非alert根拠には足りない。C01-S01のexplorer.exeからcmd.exe起動、C01-S02のcmd.exeによるstart_dns_logs.bat実行も候補に明示されない。S2のdumpcap.exeとS3のSimpleHTTPServerはgold外。,gpt-4.1-mini_2complete_reps,alert_clue,dns_packet_capture_batch_chain,collection_or_tool_invocation,dns_packet_capture_batch_chain,True
2026-06-12T12:25:22.415273+00:00,replicate_01,gpt-4.1-mini,stage1,chain_02_e01_python_simplehttpserver_network_chain_stage1,chain_02_e01_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_02_e01_python_simplehttpserver_network_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,6,1,2,0.5,1,6,0.16666666666666666,1,2,0.5,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a_batch_20260612T121955Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b_batch_20260612T121955Z_8.jsonl,候補S2のpython.exeがpython -m SimpleHTTPServerで起動したステップはgoldのSimpleHTTPServer起動に一致。network_listenはCBC alert単独根拠なのでgold復元として数えない。flashplayerupdateservice関連などは余計な候補ステップ。,gpt-4.1-mini_2complete_reps,alert_clue,python_simplehttpserver_network_chain,network_service_behavior,python_simplehttpserver_network_chain,True
2026-06-12T12:25:22.415273+00:00,replicate_01,gpt-4.1-mini,stage1,chain_04_e03_dns_packet_capture_batch_chain_stage1,chain_04_e03_dns_packet_capture_batch_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_04_e03_dns_packet_capture_batch_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,2,1,2,0.5,1,2,0.5,1,2,0.5,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a_batch_20260612T121955Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b_batch_20260612T121955Z_8.jsonl,候補S1はcmd.exeがstart_dns_logs.batを/cで実行し、parentにexplorer.exeも示しているためgoldの2ステップのうち1ステップ分として一致。ただし1候補ステップは最大1goldステップなのでexplorerからcmd起動とbatch実行の両方には数えない。S2のtsharkからdumpcapはgold外。,gpt-4.1-mini_2complete_reps,alert_clue,dns_packet_capture_batch_chain,collection_or_tool_invocation,dns_packet_capture_batch_chain,True
2026-06-12T12:25:22.415273+00:00,replicate_01,gpt-4.1-mini,stage1,chain_05_e03_python_simplehttpserver_network_chain_stage1,chain_05_e03_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_05_e03_python_simplehttpserver_network_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,6,1,2,0.5,1,6,0.16666666666666666,1,2,0.5,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a_batch_20260612T121955Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b_batch_20260612T121955Z_8.jsonl,候補S2はpython.exeがpython -m SimpleHTTPServerで起動した非alert根拠つきステップとしてgoldのSimpleHTTPServer起動に一致。S3のnetwork_listenはCBC alert単独根拠なので数えない。flashplayerupdateserviceやDNS/tshark系は余計な候補ステップ。,gpt-4.1-mini_2complete_reps,alert_clue,python_simplehttpserver_network_chain,network_service_behavior,python_simplehttpserver_network_chain,True
2026-06-12T12:34:14.865428+00:00,replicate_01,gpt-4.1-mini,stage1,chain_06_e04_python_simplehttpserver_network_chain_stage1,chain_06_e04_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_06_e04_python_simplehttpserver_network_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,6,1,2,0.5,1,6,0.16666666666666666,1,2,0.5,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a2_batch_20260612T122754Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b2_batch_20260612T122754Z_8.jsonl,候補S1はpython -m SimpleHTTPServer起動を示しC06-S01に一致。ただしネットワークログなしと明記しており、10.193.66.115:58199への通信ステップC06-S02は復元していない。S2-S6はRepWmiUtilsやhelloworld.pyなどgold外。,gpt-4.1-mini_2complete_reps,alert_clue,python_simplehttpserver_network_chain,network_service_behavior,python_simplehttpserver_network_chain,True
2026-06-12T12:39:41.961451+00:00,replicate_01,gpt-4.1-mini,stage1,chain_07_e05_sublime_python_script_execution_chain_stage1,chain_07_e05_sublime_python_script_execution_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_07_e05_sublime_python_script_execution_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,10,4,0,10,0.0,0,4,0.0,0,10,0.0,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_c3_conflicts_20260612T1240Z.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_d3_conflicts_20260612T1240Z.jsonl,候補S1はCBC alert証跡のみで非アラート証跡条件を満たさない。S2はhelloworld.pyのfile_accessで、スクリプト実行挙動を非アラート証跡付きで主張していない。S3/S4は金の実行チェーンと対応しないため一致なし。,gpt-4.1-mini_2complete_reps,alert_clue,sublime_python_script_execution_chain,script_execution_chain,sublime_python_script_execution_chain,True
2026-06-13T00:29:51.869922+00:00,replicate_01,gpt-4.1-mini,stage1,chain_09_e07_cmdexe_other_chain_stage1,chain_09_e07_cmdexe_other_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_09_e07_cmdexe_other_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,5,0,2,0.0,0,5,0.0,0,2,0.0,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a4_batch_20260612T124007Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b4r_batch_20260612T124007Z_8.jsonl,候補はDNS/tshark系や汎用的なdiscord.exe子プロセス記述で、goldのdiscord.exeからcmd.exe nvidia-smi実行への非アラート根拠付き対応がない。,gpt-4.1-mini_2complete_reps,alert_clue,cmdexe_other_chain,command_shell_execution,cmdexe_other_chain,True
2026-06-13T00:33:16.100191+00:00,replicate_01,gpt-4.1-mini,stage1,chain_10_e07_discord_run_key_registry_chain_stage1,chain_10_e07_discord_run_key_registry_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_10_e07_discord_run_key_registry_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,3,4,0,3,0.0,0,4,0.0,0,3,0.0,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_c4_conflict_chain10_stage1_20260613T0033Z.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_d4_conflict_chain10_stage1_20260613T0033Z.jsonl,候補は4ステップあるが、goldのdiscord.exeからreg.exe子プロセス起動、HKCU Run\Discord値の照会、HKCU Run\Discord値の追加/更新を非アラート証拠付きで対応させられない。候補S2はRunキー変更に近いがデータ値がなく、証拠もCBCアラートID由来で非アラートのreg.exe親子/コマンド証拠として信用できない。S1はHKU Classes\Discord読み取り、S3はRunOnce、S4はctiuser.dllでgold外。,gpt-4.1-mini_2complete_reps,alert_clue,discord_run_key_registry_chain,persistence_registry_run_key,discord_run_key_registry_chain,True
2026-06-13T00:29:51.869922+00:00,replicate_01,gpt-4.1-mini,stage1,chain_11_e07_sublime_python_script_execution_chain_stage1,chain_11_e07_sublime_python_script_execution_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_11_e07_sublime_python_script_execution_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,6,5,2,6,0.3333333333333333,2,5,0.4,1,6,0.16666666666666666,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a4_batch_20260612T124007Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b4r_batch_20260612T124007Z_8.jsonl,pythonのpip install xmltodictとhello.py実行の2手順は対応する。ただしcandidate順ではpipが先でgoldではhello.py実行後のため、順序一致は1手順分にとどまる。,gpt-4.1-mini_2complete_reps,alert_clue,sublime_python_script_execution_chain,script_execution_chain,sublime_python_script_execution_chain,True
2026-06-13T00:39:58.347683+00:00,replicate_01,gpt-4.1-mini,stage1,chain_12_e08_python_simplehttpserver_network_chain_stage1,chain_12_e08_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_12_e08_python_simplehttpserver_network_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,4,0,2,0.0,0,4,0.0,0,2,0.0,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a5_batch_20260613T003331Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b5_batch_20260613T003331Z_8.jsonl,候補は2022-07-15のRepWmiUtils配下SimpleHTTPServerやfile_access/network_connectを出しており、goldの2022-07-16 18:35のpython SimpleHTTPServer起動および非alertネットワークサーバ挙動とは同じchainの証拠として対応しない。,gpt-4.1-mini_2complete_reps,alert_clue,python_simplehttpserver_network_chain,network_service_behavior,python_simplehttpserver_network_chain,True
