path,folder,run_id,model,status,error_type,input_tokens,output_tokens,cached_input_tokens,mtime
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T075939Z_gold_reviewed_10_regexe_20220716t150700z_gpt-5_official\run.json,20260529T075939Z_gold_reviewed_10_regexe_20220716t150700z_gpt-5_official,20260529T075939Z_gold_reviewed_10_regexe_20220716t150700z_gpt-5_official,gpt-5,no_usage,,0,0,0,1780041678.984649
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T080214Z_gold_reviewed_01_cmdexe_20220716t132900z_gpt-5-mini_official\run.json,20260529T080214Z_gold_reviewed_01_cmdexe_20220716t132900z_gpt-5-mini_official,20260529T080214Z_gold_reviewed_01_cmdexe_20220716t132900z_gpt-5-mini_official,gpt-5-mini,no_usage,,0,0,0,1780041734.4035997
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T080214Z_gold_reviewed_02_cmdexe_20220716t133400z_gpt-5-mini_official\run.json,20260529T080214Z_gold_reviewed_02_cmdexe_20220716t133400z_gpt-5-mini_official,20260529T080214Z_gold_reviewed_02_cmdexe_20220716t133400z_gpt-5-mini_official,gpt-5-mini,no_usage,,0,0,0,1780041734.4065983
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T080214Z_gold_reviewed_03_cmdexe_20220716t145700z_gpt-5-mini_official\run.json,20260529T080214Z_gold_reviewed_03_cmdexe_20220716t145700z_gpt-5-mini_official,20260529T080214Z_gold_reviewed_03_cmdexe_20220716t145700z_gpt-5-mini_official,gpt-5-mini,no_usage,,0,0,0,1780041734.4105976
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T080214Z_gold_reviewed_04_cmdexe_20220717t210400z_gpt-5-mini_official\run.json,20260529T080214Z_gold_reviewed_04_cmdexe_20220717t210400z_gpt-5-mini_official,20260529T080214Z_gold_reviewed_04_cmdexe_20220717t210400z_gpt-5-mini_official,gpt-5-mini,no_usage,,0,0,0,1780041734.4126005
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T080214Z_gold_reviewed_05_cmdexe_20220718t210400z_gpt-5-mini_official\run.json,20260529T080214Z_gold_reviewed_05_cmdexe_20220718t210400z_gpt-5-mini_official,20260529T080214Z_gold_reviewed_05_cmdexe_20220718t210400z_gpt-5-mini_official,gpt-5-mini,no_usage,,0,0,0,1780041734.4145987
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T080214Z_gold_reviewed_06_pythonexe_20220715t131600z_gpt-5-mini_official\run.json,20260529T080214Z_gold_reviewed_06_pythonexe_20220715t131600z_gpt-5-mini_official,20260529T080214Z_gold_reviewed_06_pythonexe_20220715t131600z_gpt-5-mini_official,gpt-5-mini,no_usage,,0,0,0,1780041734.4165986
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T080214Z_gold_reviewed_07_pythonexe_20220716t133400z_gpt-5-mini_official\run.json,20260529T080214Z_gold_reviewed_07_pythonexe_20220716t133400z_gpt-5-mini_official,20260529T080214Z_gold_reviewed_07_pythonexe_20220716t133400z_gpt-5-mini_official,gpt-5-mini,no_usage,,0,0,0,1780041734.4186013
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T080214Z_gold_reviewed_08_pythonexe_20220716t145700z_gpt-5-mini_official\run.json,20260529T080214Z_gold_reviewed_08_pythonexe_20220716t145700z_gpt-5-mini_official,20260529T080214Z_gold_reviewed_08_pythonexe_20220716t145700z_gpt-5-mini_official,gpt-5-mini,no_usage,,0,0,0,1780041734.4215999
data\current_experiment\runs\clouseau_reconstruction_outputs\20260529T080214Z_gold_reviewed_09_pythonexe_20220717t205900z_gpt-5-mini_official\run.json,20260529T080214Z_gold_reviewed_09_pythonexe_20220717t205900z_gpt-5-mini_official,20260529T080214Z_gold_reviewed_09_pythonexe_20220717t205900z_gpt-5-mini_official,gpt-5-mini,no_usage,,0,0,0,1780041734.4256034
