chain_id,model,stage,replicate,source_set,parse_status,step_count,argument_categories,operations,evidence_sources,representative_claims,limitations_or_exclusions,raw_excerpt,action_step_recall,critical_evidence_recall,behavior_sequence_order,candidate_claim_precision,overclaim_slot_count,candidate_step_count
chain_01_e01_dns_packet_capture_batch_chain,gpt-4.1-mini,stage1,legacy_27_filtered_20260609,formal_27_chain_20260609_filtered_to_current_23,parsed_json,5,dns_capture_or_collection:7; shell_or_batch_execution:7; other:2; alert_reference:2,execute:3; file_access:2,msft-security:5; cbc-edr-alerts:2,cmd.exe / execute / start_dns_logs.bat || tshark.exe / file_access / ctiuser.dll || dumpcap.exe / file_access / plugin.dll || cmd.exe / execute / run_http_server.bat,python.exeのコマンドラインがログに記録されていないため、実行内容の詳細は不明 || tshark.exeおよびdumpcap.exeのネットワーク接続の直接的なログは見つかっていない,,0.8888888888888888,0.3333333333333333,0.5,0.28125,23,
chain_02_e01_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,legacy_27_filtered_20260609,formal_27_chain_20260609_filtered_to_current_23,parsed_json,4,other:7; network_service_or_http_server:4; shell_or_batch_execution:4; alert_reference:1,file_access:2; process_start:1; child_process_creation:1,audit_logs:8,python.exe / process_start / python.exe || python.exe / file_access / python -m SimpleHTTPServer || python.exe / child_process_creation / flashplayerupdateservice.exe || flashplayerupdateservice.exe / file_access / C:\Windows\System32\ctiuser.dll,python.exe のネットワーク接続の直接的なログは観測されていない || flashplayerupdateservice.exe のネットワーク接続のログも観測されていない || 親プロセスの PID 情報が不明で、親子関係の一部に不確実性がある,,0.5,0.5,0.0,0.2222222222222222,14,
chain_04_e03_dns_packet_capture_batch_chain,gpt-4.1-mini,stage1,legacy_27_filtered_20260609,formal_27_chain_20260609_filtered_to_current_23,parsed_json,1,shell_or_batch_execution:4; dns_capture_or_collection:3; alert_reference:2; other:1,execute:1,cbc-edr-alerts:2; sysmon:2; cbc-edr:1,cmd.exe / execute / start_dns_logs.bat,start_dns_logs.bat の内容やその後の動作は不明 || 子プロセスやファイル操作、ネットワーク接続の証拠がこの時間帯に観測されていない,,1.0,1.0,0.0,1.0,0,
chain_05_e03_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,legacy_27_filtered_20260609,formal_27_chain_20260609_filtered_to_current_23,parsed_json,0,alert_reference:2; registry_persistence:1; shell_or_batch_execution:1; other:1,,,,指定時間範囲および広い時間範囲でpython.exeに関連するファイル操作、レジストリ操作、ネットワーク接続のログが観測されなかった || cmd.exeプロセス（PID 2032）に関するログが確認できなかったため、親プロセスの起点が不明 || プロセス名表記の揺れやログの欠落により、python.exeの具体的な行動連鎖を復元できなかった,,0.0,0.0,0.0,0.0,1,
chain_06_e04_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,legacy_27_filtered_20260609,formal_27_chain_20260609_filtered_to_current_23,parsed_json,1,network_service_or_http_server:2; registry_persistence:2; alert_reference:2; other:1,execute:1,audit_logs:1,python.exe / execute / SimpleHTTPServerモジュールを使用したPythonスクリプトの実行,指定時間範囲内でのpython.exeの詳細なプロセス情報やネットワーク接続、ファイル・レジストリ変更のログが不足している || ホスト名やプロセス名の表記揺れにより一部活動が見逃されている可能性がある,,0.5,0.0,0.0,0.42857142857142855,4,
chain_07_e05_sublime_python_script_execution_chain,gpt-4.1-mini,stage1,legacy_27_filtered_20260609,formal_27_chain_20260609_filtered_to_current_23,parsed_json,4,script_execution_chain:10; shell_or_batch_execution:6; alert_reference:2; other:1,file_write:2; process_creation:1; script_execution:1,cbc-edr:2; sysmon:2,cmd.exe / process_creation / python.exe || python.exe / script_execution / helloworld.py || sublime_text.exe / file_write / helloworld.py || explorer.exe / file_write / helloworld.py ショートカットファイル,plugin_host.exe と cmd.exe の親プロセス情報がログに存在しないため、起動経路の全容は不明 || python.exe の詳細なファイル操作やネットワーク接続は指定時間範囲内に観測されていない || sublime_text.exe と explorer.exe の親プロセス情報が不明であり、起動経路の詳細は不明,,0.5,0.3,0.4444444444444444,0.6428571428571429,10,
chain_09_e07_cmdexe_other_chain,gpt-4.1-mini,stage1,legacy_27_filtered_20260609,formal_27_chain_20260609_filtered_to_current_23,parsed_json,3,shell_or_batch_execution:10; dns_capture_or_collection:7; alert_reference:2; gpu_tool_command:1,execute:1; spawned_by:1; file_access:1,sysmon:4; cbc-edr-alerts:1,cmd.exe / execute / start_dns_logs.bat || tshark.exe / spawned_by / cmd.exe || cmd.exe / file_access / ctiuser.dll,start_dns_logs.batの内容が未取得であり、具体的な動作は不明 || tshark.exeの詳細なコマンドラインやネットワーク接続ログが未観測 || cmd.exeの親プロセスPIDやコマンドライン情報が欠落しているため起点の完全な特定が困難 || nvidia-smi.exeの実行記録は指定時間内および広範囲の時間帯で未観測,,0.5,0.0,0.0,0.17647058823529413,14,
chain_10_e07_discord_run_key_registry_chain,gpt-4.1-mini,stage1,legacy_27_filtered_20260609,formal_27_chain_20260609_filtered_to_current_23,parsed_json,3,other:5; registry_persistence:5; shell_or_batch_execution:1; alert_reference:1,process_start:2; registry_query:1,audit_logs:3; cbc-edr-alerts:1,update.exe / process_start / update.exe || discord.exe / process_start / discord.exe || reg.exe / registry_query / HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run,reg.exe PID 1204の親プロセス情報が欠落しているため、reg.exeの起動元を特定できていない || discord.exeのコマンドライン詳細が不足しており、起動連鎖の全体像が完全には把握できていない || firefox.exeやcmd.exeの親子関係や詳細なコマンドライン情報が不足している,,0.2222222222222222,0.0,0.0,0.125,14,
chain_11_e07_sublime_python_script_execution_chain,gpt-4.1-mini,stage1,legacy_27_filtered_20260609,formal_27_chain_20260609_filtered_to_current_23,parsed_json,4,shell_or_batch_execution:6; other:5; script_execution_chain:2; alert_reference:1,process_creation:4,audit_logs:4,RepWmiUtils.exe / process_creation / RepWmiUtils.exe || RepMgr.exe / process_creation / RepMgr.exe || cmd.exe / process_creation / python.exe || cmd.exe / process_creation / python.exe,explorer.exe の親プロセス情報とコマンドラインがログに存在しないため、cmd.exe の起動経路の完全な復元はできていない || RepWmiUtils.exe と python.exe の同一 PID 関連付けの直接的なログ証拠は見つかっていない,,0.6111111111111112,0.0,0.0,0.4117647058823529,10,
chain_12_e08_python_simplehttpserver_network_chain,gpt-4.1-mini,stage1,legacy_27_filtered_20260609,formal_27_chain_20260609_filtered_to_current_23,parsed_json,3,shell_or_batch_execution:5; network_service_or_http_server:4; other:3; alert_reference:1,process_start:1; file_read:1; network_listen:1,sysmon:2; cbc-edr:1,cmd.exe / process_start / python.exe || python.exe / file_read / index.html || python.exe / network_listen / 10.193.66.115:39277,親プロセスcmd.exeの完全なパス情報が欠落している || python.exeの実行ファイルパスが不明である || ネットワーク通信の内容や接続先の詳細はログに含まれていない,,0.8333333333333334,0.5,1.0,0.5,6,
