reviewed_at_utc,replicate,model,stage,instance_id,chain_id,run_json,gold_file,evaluation_unit,review1_pass,review2_pass,two_review_adoptable,gold_step_count,candidate_step_count,recall_hits,recall_total,recall,precision_hits,precision_total,precision,behavior_sequence_order_hits,behavior_sequence_order_total,behavior_sequence_order,review_summary,dataset_label,comparison_scope,scoring_mode,review_status,stage_label,chain_type,framework_group,evaluable_chain,reviewer_a_source,reviewer_b_source,format_failure_note,adjudication_pass,adjudication_rule
2026-06-12T07:40:00Z,replicate_01,gpt-4.1-mini,stage2,chain_01_e01_dns_packet_capture_batch_chain_stage2,chain_01_e01_dns_packet_capture_batch_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage2/chain_01_e01_dns_packet_capture_batch_chain_stage2_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,3,0,0,3,0.0,0,0,,0,3,0.0,"Gold has three non-alert-supported DNS batch steps: explorer launches cmd, cmd runs start_dns_logs.bat, and cmd spawns tshark. Candidate returned no code_steps and only a limitation statement, so there are no matched behavior/evidence steps and no candidate precision denominator.",gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,process_time_clue,dns_packet_capture_batch_chain,collection_or_tool_invocation,True,,,,,
2026-06-12T07:43:00Z,replicate_01,gpt-4.1-mini,stage3,chain_01_e01_dns_packet_capture_batch_chain_stage3,chain_01_e01_dns_packet_capture_batch_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage3/chain_01_e01_dns_packet_capture_batch_chain_stage3_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,3,3,1,3,0.3333333333,1,3,0.3333333333,1,3,0.3333333333,Candidate includes one matching DNS batch behavior/evidence unit: cmd.exe launching tshark.exe with the start_dns_logs.bat parent command. It misses the separate explorer-to-cmd launch and cmd batch-execution steps. The two Python SimpleHTTPServer steps are unrelated extra candidates for this chain.,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,non_alert_telemetry_only,dns_packet_capture_batch_chain,collection_or_tool_invocation,True,,,,,
2026-06-12T12:25:22.415273+00:00,replicate_01,gpt-4.1-mini,stage1,chain_02_e01_python_simplehttpserver_network_chain_stage1,chain_02_e01_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_02_e01_python_simplehttpserver_network_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,6,1,2,0.5,1,6,0.16666666666666666,1,2,0.5,候補S2のpython.exeがpython -m SimpleHTTPServerで起動したステップはgoldのSimpleHTTPServer起動に一致。network_listenはCBC alert単独根拠なのでgold復元として数えない。flashplayerupdateservice関連などは余計な候補ステップ。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,alert_clue,python_simplehttpserver_network_chain,network_service_behavior,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a_batch_20260612T121955Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b_batch_20260612T121955Z_8.jsonl,,,
2026-06-12T12:25:22.415273+00:00,replicate_01,gpt-4.1-mini,stage1,chain_04_e03_dns_packet_capture_batch_chain_stage1,chain_04_e03_dns_packet_capture_batch_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_04_e03_dns_packet_capture_batch_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,2,1,2,0.5,1,2,0.5,1,2,0.5,候補S1はcmd.exeがstart_dns_logs.batを/cで実行し、parentにexplorer.exeも示しているためgoldの2ステップのうち1ステップ分として一致。ただし1候補ステップは最大1goldステップなのでexplorerからcmd起動とbatch実行の両方には数えない。S2のtsharkからdumpcapはgold外。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,alert_clue,dns_packet_capture_batch_chain,collection_or_tool_invocation,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a_batch_20260612T121955Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b_batch_20260612T121955Z_8.jsonl,,,
2026-06-12T12:25:22.415273+00:00,replicate_01,gpt-4.1-mini,stage1,chain_05_e03_python_simplehttpserver_network_chain_stage1,chain_05_e03_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_05_e03_python_simplehttpserver_network_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,6,1,2,0.5,1,6,0.16666666666666666,1,2,0.5,候補S2はpython.exeがpython -m SimpleHTTPServerで起動した非alert根拠つきステップとしてgoldのSimpleHTTPServer起動に一致。S3のnetwork_listenはCBC alert単独根拠なので数えない。flashplayerupdateserviceやDNS/tshark系は余計な候補ステップ。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,alert_clue,python_simplehttpserver_network_chain,network_service_behavior,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a_batch_20260612T121955Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b_batch_20260612T121955Z_8.jsonl,,,
2026-06-12T12:25:22.415273+00:00,replicate_01,gpt-4.1-mini,stage2,chain_02_e01_python_simplehttpserver_network_chain_stage2,chain_02_e01_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage2/chain_02_e01_python_simplehttpserver_network_chain_stage2_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,8,0,2,0.0,0,8,0.0,0,2,0.0,候補はpython.exeのファイルアクセスや単なるprocess_create、別日のFlashPlayerUpdateService関連を出しているが、python -m SimpleHTTPServerのコマンドライン復元も非alert根拠のネットワークサーバ挙動復元もない。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,process_time_clue,python_simplehttpserver_network_chain,network_service_behavior,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a_batch_20260612T121955Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b_batch_20260612T121955Z_8.jsonl,,,
2026-06-12T12:25:22.415273+00:00,replicate_01,gpt-4.1-mini,stage2,chain_04_e03_dns_packet_capture_batch_chain_stage2,chain_04_e03_dns_packet_capture_batch_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage2/chain_04_e03_dns_packet_capture_batch_chain_stage2_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,8,0,2,0.0,0,8,0.0,0,2,0.0,候補はSimpleHTTPServer、RepWmiUtils、FlashPlayerUpdateService、tshark/dumpcapなど周辺・別チェーンの挙動を出している。goldのexplorer.exeからcmd.exe起動、およびcmd.exeによるstart_dns_logs.bat実行をbehavior+evidenceとして復元できていない。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,process_time_clue,dns_packet_capture_batch_chain,collection_or_tool_invocation,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a_batch_20260612T121955Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b_batch_20260612T121955Z_8.jsonl,,,
2026-06-12T12:25:22.415273+00:00,replicate_01,gpt-4.1-mini,stage3,chain_02_e01_python_simplehttpserver_network_chain_stage3,chain_02_e01_python_simplehttpserver_network_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage3/chain_02_e01_python_simplehttpserver_network_chain_stage3_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,2,0,2,0.0,0,2,0.0,0,2,0.0,候補はpython.exeからFlashPlayerUpdateService、さらにFlashPlayerUpdateServiceからtshark.exeという別挙動を出しており、SimpleHTTPServer起動やネットワークサーバ挙動のgoldステップに一致しない。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,non_alert_telemetry_only,python_simplehttpserver_network_chain,network_service_behavior,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a_batch_20260612T121955Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b_batch_20260612T121955Z_8.jsonl,,,
2026-06-12T12:25:22.415273+00:00,replicate_01,gpt-4.1-mini,stage3,chain_04_e03_dns_packet_capture_batch_chain_stage3,chain_04_e03_dns_packet_capture_batch_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage3/chain_04_e03_dns_packet_capture_batch_chain_stage3_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,2,4,1,2,0.5,1,4,0.25,1,2,0.5,候補S2はcmd.exeがstart_dns_logs.batを実行しparentにexplorer.exeも含むためgoldの1ステップ分として一致。S1のrun_http_server、S3のpython、S4のtshark/dumpcapはこのchainのgold外であり、1候補ステップでgold 2ステップ分には数えない。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,non_alert_telemetry_only,dns_packet_capture_batch_chain,collection_or_tool_invocation,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_a_batch_20260612T121955Z_8.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_b_batch_20260612T121955Z_8.jsonl,,,
2026-06-12T12:27:42.934197+00:00,replicate_01,gpt-4.1-mini,stage1,chain_01_e01_dns_packet_capture_batch_chain_stage1,chain_01_e01_dns_packet_capture_batch_chain,docs/current_experiment/results_2026-06-09/formal_23_chain_experiment_2rep_20260612/replicate_01/runs/gpt-4.1-mini/stage1/chain_01_e01_dns_packet_capture_batch_chain_stage1_run.json,data/current_experiment/gold/cbc_non_alert_behavior_chain_gold_2026-06-11/all_chain_steps.jsonl,behavior_plus_evidence_step,True,True,True,3,3,0,3,0.0,0,3,0.0,0,3,0.0,候補S1はtshark.exeのモジュール実行/ロード風の挙動で、parent_process=cmd.exeは示すが、gold C01-S03が要求するcmd.exeがstart_dns_logs.bat経由でtshark.exeを子プロセスとして生成した非alert根拠には足りない。C01-S01のexplorer.exeからcmd.exe起動、C01-S02のcmd.exeによるstart_dns_logs.bat実行も候補に明示されない。S2のdumpcap.exeとS3のSimpleHTTPServerはgold外。,gpt-4.1-mini_2rep_strict,full_available,strict_json,two_review_agreed,alert_clue,dns_packet_capture_batch_chain,collection_or_tool_invocation,True,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_c_conflict_chain01_stage1_20260612T1226Z.jsonl,data/current_experiment/scores/formal_23_chain_2rep_20260612/reviewer_outputs/reviewer_d_conflict_chain01_stage1_20260612T1226Z.jsonl,,,
